"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaSMs","SPD",1.9724338457857,1,26,0.17202391631035,"   ",1.9724338457857,1,0.160189759785433,"   ","heaSMs <= SPD"
"heaSMs","clim",5.09395647587044,1,26,0.0326394825173579,"*  ",5.09395647587044,1,0.0240093555843871,"*  ","heaSMs <= clim"
"heaSMs","SPD|clim",2.56101192323907,2,26,0.0965543220310677,".  ",5.12202384647815,2,0.0772265535461955,".  ","heaSMs <= SPD|clim"
"araSMs","SPD",1.57666494847013,2,22,0.229139063668377,"   ",3.15332989694025,2,0.206663182531839,"   ","araSMs <= SPD"
"araSMs","clim",2.58895610825565,2,22,0.0977850544533154,".  ",5.17791221651129,2,0.0750983937751028,".  ","araSMs <= clim"
"araSMs","SPD|clim",2.57507727231159,4,22,0.0659692867628236,".  ",10.3003090892464,4,0.0356617235833693,"*  ","araSMs <= SPD|clim"
"pasSMs","SPD",0.426566135146059,3,18,0.736357766426319,"   ",1.27969840543818,3,0.733959443272858,"   ","pasSMs <= SPD"
"pasSMs","clim",2.06479496784295,3,18,0.140784071049137,"   ",6.19438490352886,3,0.102526598157374,"   ","pasSMs <= clim"
"pasSMs","SPD|clim",1.48565785430608,6,18,0.238714253906974,"   ",8.91394712583645,6,0.178475777966918,"   ","pasSMs <= SPD|clim"
"wetmSMs","SPD",4.20495498006697,3,18,0.0202712952705321,"*  ",12.6148649402009,3,0.00554802326448161,"** ","wetmSMs <= SPD"
"wetmSMs","clim",2.0919337260054,3,18,0.137066984458629,"   ",6.2758011780162,3,0.098936311653843,".  ","wetmSMs <= clim"
"wetmSMs","SPD|clim",2.23132390487834,6,18,0.087374392782327,".  ",13.38794342927,6,0.0372727402763781,"*  ","wetmSMs <= SPD|clim"
"wetwSMs","SPD",2.87925209821367,2,22,0.0774984167735602,".  ",5.75850419642734,2,0.0561767618271359,".  ","wetwSMs <= SPD"
"wetwSMs","clim",1.2076005188622,2,22,0.317969993278242,"   ",2.4152010377244,2,0.298913657301104,"   ","wetwSMs <= clim"
"wetwSMs","SPD|clim",1.82581394606151,4,22,0.159817494442444,"   ",7.30325578424604,4,0.120704405801466,"   ","wetwSMs <= SPD|clim"
"decSMs","SPD",2.28556869042937,3,18,0.113423181113841,"   ",6.8567060712881,3,0.0766080256768702,".  ","decSMs <= SPD"
"decSMs","clim",2.47498298196112,3,18,0.094504444912804,".  ",7.42494894588335,3,0.0595185181904599,".  ","decSMs <= clim"
"decSMs","SPD|clim",2.78879764565302,6,18,0.0425500353644049,"*  ",16.7327858739181,6,0.0103171288673896,"*  ","decSMs <= SPD|clim"
"conSMs","SPD",5.6389762250978,1,26,0.0252298222388707,"*  ",5.6389762250978,1,0.0175654611556058,"*  ","conSMs <= SPD"
"conSMs","clim",0.0512472426570104,1,26,0.822677330687087,"   ",0.0512472426570104,1,0.820907018551318,"   ","conSMs <= clim"
"conSMs","SPD|clim",2.91189928175938,2,26,0.0722565638654743,".  ",5.82379856351876,2,0.0543723633013116,".  ","conSMs <= SPD|clim"
